# These weekday factors should be applied to total annual emission factors in
# combination with the Monthly factors supplied in Monthlyfac.all.
# origin: EMEP/MSC-W based on GENEMIS data.
# Formate: CC SNAPsector  MON      TUE      WED      THU      FRI      SAT      SUN
50  2  0.9911   0.9924   0.9857   0.9958   1.0393   1.0094   0.9862
49  2  0.9911   0.9924   0.9857   0.9958   1.0393   1.0094   0.9862
41  2  0.9911   0.9924   0.9857   0.9958   1.0393   1.0094   0.9862
52  2  0.9911   0.9924   0.9857   0.9958   1.0393   1.0094   0.9862
 2  3  1.0625   1.0800   1.0806   1.0709   1.0913   0.8087   0.8059
 3  3  1.0670   1.0769   1.0869   1.0813   1.0825   0.8035   0.8020
 4  3  1.0737   1.0816   1.0867   1.0785   1.0678   0.8051   0.8066
24  3  1.0564   1.0801   1.0855   1.0759   1.0878   0.8094   0.8047
46  3  1.0717   1.0708   1.0770   1.0707   1.0736   0.8160   0.8202
10  3  1.0537   1.0828   1.0811   1.0754   1.0882   0.8107   0.8081
 6  3  1.0693   1.0893   1.0881   1.0728   1.0712   0.8046   0.8047
43  3  1.0740   1.0803   1.0823   1.0700   1.0782   0.8056   0.8096
22  3  1.0774   1.0779   1.0749   1.0713   1.0801   0.8067   0.8117
 7  3  1.0764   1.0812   1.0890   1.0773   1.0744   0.8006   0.8011
 8  3  1.0703   1.0769   1.0828   1.0775   1.0791   0.8067   0.8066
11  3  1.0631   1.0896   1.0854   1.0816   1.0686   0.8050   0.8067
12  3  1.0687   1.0762   1.0828   1.0808   1.0802   0.8032   0.8081
14  3  1.0603   1.0842   1.0919   1.0709   1.0817   0.8061   0.8049
45  3  1.0717   1.0708   1.0770   1.0707   1.0736   0.8160   0.8202
16  3  1.0635   1.0774   1.0818   1.0766   1.0915   0.8057   0.8036
44  3  1.0717   1.0708   1.0770   1.0707   1.0736   0.8160   0.8202
17  3  1.0691   1.0848   1.0823   1.0767   1.0813   0.8046   0.8011
18  3  1.0757   1.0834   1.0874   1.0733   1.0693   0.8044   0.8065
19  3  1.0717   1.0708   1.0770   1.0707   1.0736   0.8160   0.8202
20  3  1.0802   1.0798   1.0784   1.0623   1.0823   0.8093   0.8077
21  3  1.0740   1.0803   1.0823   1.0700   1.0782   0.8056   0.8096
23  3  1.0693   1.0916   1.0838   1.0773   1.0719   0.8013   0.8048
48  3  1.0906   1.0711   1.0762   1.0639   1.0716   0.8049   0.8217
47  3  1.0906   1.0711   1.0762   1.0639   1.0716   0.8049   0.8217
42  3  1.0706   1.0792   1.0824   1.0733   1.0778   0.8070   0.8097
27  3  1.0508   1.0888   1.0945   1.0848   1.0755   0.8034   0.8022
51  3  1.0906   1.0711   1.0762   1.0639   1.0716   0.8049   0.8217
15  3  1.0637   1.0769   1.0825   1.0723   1.0887   0.8061   0.8098
 9  3  1.0537   1.0828   1.0811   1.0754   1.0882   0.8107   0.8081
 1  3  1.0537   1.0828   1.0811   1.0754   1.0882   0.8107   0.8081
40  3  1.0537   1.0828   1.0811   1.0754   1.0882   0.8107   0.8081
50  3  1.0537   1.0828   1.0811   1.0754   1.0882   0.8107   0.8081
49  3  1.0537   1.0828   1.0811   1.0754   1.0882   0.8107   0.8081
41  3  1.0537   1.0828   1.0811   1.0754   1.0882   0.8107   0.8081
52  3  1.0537   1.0828   1.0811   1.0754   1.0882   0.8107   0.8081
 2  4  1.0621   1.0815   1.0828   1.0725   1.0914   0.8060   0.8038
 3  4  1.0663   1.0785   1.0917   1.0827   1.0771   0.8013   0.8024
 4  4  1.0741   1.0850   1.0899   1.0830   1.0655   0.8008   0.8016
24  4  1.0683   1.0784   1.0845   1.0770   1.0805   0.8049   0.8064
46  4  1.0744   1.0834   1.0827   1.0767   1.0791   0.8011   0.8025
10  4  1.0556   1.0848   1.0849   1.0766   1.0844   0.8067   0.8070
 6  4  1.0728   1.0917   1.0918   1.0762   1.0679   0.7989   0.8007
43  4  1.0744   1.0834   1.0827   1.0767   1.0791   0.8011   0.8025
22  4  1.0746   1.0791   1.0733   1.0744   1.0822   0.8064   0.8099
 7  4  1.0767   1.0833   1.0883   1.0776   1.0746   0.7997   0.7999
