# These monthly factors should be applied to total annual emission factors in
# combination with the Weekday factors supplied in Weekdayfactor.all.
# origin: EMEP/MSC-W based on GENEMIS data.
# Formate: CC SNAPsector  JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC
16  2  1.848  1.909  1.872  1.521  0.686  0.596  0.192  0.205  0.301  0.772  0.897  1.268
44  2  2.140  2.443  2.294  1.193  0.469  0.197  0.066  0.049  0.057  0.380  1.080  1.723
17  2  1.776  1.853  1.995  1.468  0.781  0.614  0.209  0.191  0.258  0.742  0.941  1.232
18  2  1.632  2.019  1.966  1.254  0.666  0.430  0.195  0.109  0.376  0.808  1.203  1.416
19  2  2.140  2.443  2.294  1.193  0.469  0.197  0.066  0.049  0.057  0.380  1.080  1.723
20  2  2.048  2.697  1.312  0.911  0.964  0.499  0.502  0.494  0.506  0.492  0.620  1.072
21  2  2.237  2.225  1.696  0.923  0.332  0.194  0.178  0.178  0.179  0.457  1.359  2.117
23  2  1.567  2.120  1.962  1.356  0.700  0.483  0.202  0.117  0.240  0.744  1.198  1.395
48  2  2.662  2.879  2.026  0.788  0.178  0.030  0.027  0.027  0.027  0.394  0.853  2.217
47  2  2.662  2.879  2.026  0.788  0.178  0.030  0.027  0.027  0.027  0.394  0.853  2.217
42  2  2.016  2.239  1.862  1.210  0.585  0.377  0.203  0.182  0.245  0.584  0.995  1.584
27  2  1.672  1.563  1.716  1.460  0.879  0.754  0.326  0.220  0.524  0.837  0.940  1.153
51  2  2.016  2.239  1.862  1.210  0.585  0.377  0.203  0.182  0.245  0.584  0.995  1.584
15  2  2.155  2.331  1.930  1.106  0.482  0.370  0.373  0.368  0.374  0.439  0.498  1.649
 9  2  1.831  2.030  1.884  1.426  0.560  0.432  0.181  0.172  0.208  0.832  1.112  1.405
 1  2  2.016  2.239  1.862  1.210  0.585  0.377  0.203  0.182  0.245  0.584  0.995  1.584
40  2  2.016  2.239  1.862  1.210  0.585  0.377  0.203  0.182  0.245  0.584  0.995  1.584
50  2  2.016  2.239  1.862  1.210  0.585  0.377  0.203  0.182  0.245  0.584  0.995  1.584
49  2  2.016  2.239  1.862  1.210  0.585  0.377  0.203  0.182  0.245  0.584  0.995  1.584
41  2  2.016  2.239  1.862  1.210  0.585  0.377  0.203  0.182  0.245  0.584  0.995  1.584
52  2  2.016  2.239  1.862  1.210  0.585  0.377  0.203  0.182  0.245  0.584  0.995  1.584
 2  3  1.070  1.049  1.056  1.053  0.999  0.987  0.921  0.818  0.901  1.020  1.029  1.100
 3  3  1.040  1.087  1.121  1.078  0.992  1.007  0.856  0.777  0.949  1.041  1.026  1.037
 4  3  1.099  1.234  1.267  1.110  0.993  0.937  0.836  0.791  0.828  0.882  0.977  1.064
24  3  1.078  1.050  1.067  1.044  0.989  0.987  0.910  0.804  0.897  1.028  1.043  1.108
46  3  1.219  1.284  1.282  1.080  0.924  0.861  0.731  0.668  0.771  0.943  1.093  1.165
10  3  1.042  1.056  1.089  1.040  0.957  0.946  0.897  0.846  0.930  1.055  1.078  1.068
 6  3  1.043  1.076  1.127  1.045  0.961  0.974  0.837  0.821  0.959  1.025  1.087  1.056
43  3  1.127  1.220  1.174  1.041  0.960  0.893  0.852  0.853  0.878  0.932  1.028  1.059
22  3  1.076  1.129  1.087  1.042  1.028  1.019  0.964  0.757  0.786  1.013  1.064  1.043
 7  3  1.066  1.215  1.138  1.062  1.014  0.989  0.771  0.734  0.916  0.997  1.060  1.060
 8  3  1.064  1.117  1.084  1.069  1.015  0.997  0.939  0.811  0.863  1.010  1.023  1.019
11  3  1.044  1.073  1.074  1.018  0.988  0.976  0.939  0.887  0.870  0.971  1.055  1.109
12  3  1.143  1.187  1.099  1.002  0.945  0.925  0.871  0.845  0.880  0.926  1.051  1.139
14  3  1.024  1.007  1.062  1.026  0.997  1.016  0.963  0.858  0.942  1.029  1.034  1.042
45  3  1.219  1.284  1.282  1.080  0.924  0.861  0.731  0.668  0.771  0.943  1.093  1.165
16  3  1.041  1.071  1.070  1.052  1.014  1.030  0.967  0.846  0.889  1.000  1.002  1.023
44  3  1.219  1.284  1.282  1.080  0.924  0.861  0.731  0.668  0.771  0.943  1.093  1.165
17  3  1.058  1.048  1.073  1.041  1.001  0.996  0.906  0.842  0.920  1.015  1.041  1.063
18  3  1.075  1.185  1.193  1.020  0.924  0.917  0.786  0.760  0.956  1.035  1.092  1.074
19  3  1.219  1.284  1.282  1.080  0.924  0.861  0.731  0.668  0.771  0.943  1.093  1.165
20  3  1.036  1.057  1.043  1.055  1.037  0.997  0.995  0.859  0.869  1.000  1.033  1.023
21  3  1.127  1.220  1.174  1.041  0.960  0.893  0.852  0.853  0.878  0.932  1.028  1.059
23  3  1.074  1.161  1.146  1.071  1.015  0.979  0.742  0.698  0.929  1.025  1.086  1.091
48  3  1.295  1.327  1.233  1.060  0.924  0.804  0.714  0.663  0.724  0.926  1.073  1.278
47  3  1.295  1.327  1.233  1.060  0.924  0.804  0.714  0.663  0.724  0.926  1.073  1.278
42  3  1.112  1.161  1.151  1.056  0.974  0.940  0.849  0.776  0.858  0.983  1.053  1.100
27  3  1.000  1.048  1.122  1.062  0.975  0.990  0.942  0.882  0.939  1.016  1.026  1.003
51  3  1.295  1.327  1.233  1.060  0.924  0.804  0.714  0.663  0.724  0.926  1.073  1.278
15  3  1.033  1.102  1.136  1.093  1.045  1.004  0.970  0.733  0.778  1.028  1.034  1.052
 9  3  1.042  1.056  1.089  1.040  0.957  0.946  0.897  0.846  0.930  1.055  1.078  1.068
 1  3  1.112  1.161  1.151  1.056  0.974  0.940  0.849  0.776  0.858  0.983  1.053  1.100
40  3  1.112  1.161  1.151  1.056  0.974  0.940  0.849  0.776  0.858  0.983  1.053  1.100
50  3  1.295  1.327  1.233  1.060  0.924  0.804  0.714  0.663  0.724  0.926  1.073  1.278
49  3  1.295  1.327  1.233  1.060  0.924  0.804  0.714  0.663  0.724  0.926  1.073  1.278
41  3  1.112  1.161  1.151  1.056  0.974  0.940  0.849  0.776  0.858  0.983  1.053  1.100
52  3  1.295  1.327  1.233  1.060  0.924  0.804  0.714  0.663  0.724  0.926  1.073  1.278
 2  4  0.988  0.920  1.002  1.016  1.021  1.044  1.005  0.873  0.946  1.050  1.034  1.093
 3  4  0.959  1.019  1.073  1.053  1.014  1.047  0.904  0.805  0.996  1.073  1.049  1.013
 4  4  0.958  1.176  1.284  1.153  1.039  1.023  0.896  0.849  0.905  0.896  0.908  0.931
24  4  0.976  1.032  1.050  1.042  1.039  1.055  1.026  0.853  0.877  1.040  1.032  0.981
46  4  0.989  1.137  1.141  1.049  1.007  0.979  0.945  0.961  0.977  0.975  0.953  0.899
10  4  0.952  0.939  1.008  1.000  0.978  0.984  0.982  0.931  0.993  1.094  1.095  1.041
 6  4  0.953  0.967  1.037  1.005  0.975  1.020  0.877  0.909  1.058  1.070  1.103  1.028
43  4  0.989  1.137  1.141  1.049  1.007  0.979  0.945  0.961  0.977  0.975  0.953  0.899
22  4  0.973  1.032  1.058  1.030  1.036  1.087  1.067  0.785  0.799  1.051  1.086  0.999
 7  4  0.979  1.018  1.038  1.043  1.088  1.092  0.844  0.808  1.020  1.043  1.031  1.004
 8  4  0.976  1.032  1.050  1.042  1.039  1.055  1.026  0.853  0.877  1.040  1.032  0.981
11  4  0.948  0.958  0.987  0.974  0.995  1.043  1.036  0.975  0.932  1.036  1.080  1.033
12  4  0.989  1.137  1.141  1.049  1.007  0.979  0.945  0.961  0.977  0.975  0.953  0.899
14  4  0.973  0.953  1.031  1.007  0.993  1.040  1.011  0.874  0.959  1.055  1.054  1.047
45  4  0.989  1.137  1.141  1.049  1.007  0.979  0.945  0.961  0.977  0.975  0.953  0.899
16  4  0.959  0.992  0.995  1.013  1.050  1.083  1.079  0.908  0.909  1.014  1.005  0.992
44  4  0.989  1.137  1.141  1.049  1.007  0.979  0.945  0.961  0.977  0.975  0.953  0.899
17  4  0.992  0.962  0.984  1.007  1.027  1.034  0.973  0.896  0.965  1.043  1.058  1.058
18  4  1.005  1.025  1.032  1.044  1.079  1.070  0.769  0.730  1.028  1.081  1.090  1.058
19  4  1.082  1.015  1.012  1.036  0.965  0.917  0.924  0.962  0.957  0.995  1.048  1.087
20  4  0.983  0.985  1.025  1.058  1.046  1.032  1.044  0.857  0.871  1.039  1.051  1.010
21  4  0.989  1.137  1.141  1.049  1.007  0.979  0.945  0.961  0.977  0.975  0.953  0.899
23  4  1.005  1.025  1.032  1.044  1.079  1.070  0.769  0.730  1.028  1.081  1.090  1.058
48  4  0.988  0.920  1.002  1.016  1.021  1.044  1.005  0.873  0.946  1.050  1.034  1.093
47  4  0.989  1.137  1.141  1.049  1.007  0.979  0.945  0.961  0.977  0.975  0.953  0.899
42  4  0.977  1.035  1.071  1.043  1.025  1.027  0.966  0.874  0.938  1.029  1.026  0.992
