CB1	PBC
CB2	PBC
NH4	PNH4
SO4	PSO4
OC1	PSOAlP 0.46 PSOAhP 0.79 PSOAmP 0.58
OC2	PSOAlP 0.46 PSOAhP 0.79 PSOAmP 0.58
SOA	PBiA2D
NH4NO3	PNO3 0.775 PNH4 0.225
