  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1392E+10  0.1397E+09  0.1788E+09  0.8406E+07  0.3529E+07
  0.4368E+12  0.7728E+10  0.2164E+11  0.1046E+11  0.1743E+10
  0.2002E+13  0.8806E+10  0.7465E+11  0.4844E+10  0.1255E+10
  0.1718E+13  0.8218E+10  0.6665E+11  0.4351E+10  0.1420E+10
  0.9295E+12  0.5250E+10  0.3548E+11  0.1985E+10  0.1372E+10
  0.7717E+11  0.3188E+10  0.5473E+10  0.1865E+10  0.1844E+10
  0.7027E+11  0.3035E+10  0.5315E+10  0.1808E+10  0.1765E+10
  0.5449E+11  0.3318E+10  0.4883E+10  0.2288E+10  0.1787E+10
  0.1714E+12  0.3928E+10  0.9291E+10  0.3010E+10  0.1172E+10
  0.9354E+11  0.3249E+10  0.6107E+10  0.2068E+10  0.1078E+10
  0.3824E+12  0.6029E+10  0.1811E+11  0.5968E+10  0.2059E+10
  0.4344E+12  0.6679E+10  0.2045E+11  0.7596E+10  0.2133E+10
  0.3224E+12  0.4467E+10  0.1461E+11  0.3147E+10  0.2063E+10
  0.1714E+12  0.4098E+10  0.9412E+10  0.3443E+10  0.2021E+10
  0.9570E+11  0.3743E+10  0.6642E+10  0.3423E+10  0.1933E+10
  0.1785E+12  0.3575E+10  0.9131E+10  0.2679E+10  0.1866E+10
  0.5287E+10  0.3271E+10  0.3271E+10  0.2988E+10  0.1904E+10
  0.4969E+10  0.2527E+10  0.2527E+10  0.1760E+10  0.1737E+10
