C10H16	 ISO 0.5 LIM 0.5
C2H4	 ETE
C2H5OH	 HC3
C2H6	 ETH
C3H6	 OLT
C3H8	 HC3
C4H10	 HC5 0.5 HC8 0.5
CH2O	 HCHO
CH3CHO	 HC3
CH3COCH3 KET
CH3O2	 ALD
CH3OH	 HC3
CH3OOH	 ORA2
CH4	 CH4
CO	 CO
H2
H2O2	 H2O2
HNO3	 HNO3
HO2	 HO2
HO2NO2	 HNO4
ISOP	 ISOP
N2O5	 N2O5
N2O
NO2	 NO2
NO3	 NO3
NO	 NO
O1D	 O1D
O3	 O3
O3INERT
O3S
O
OH	 HO
ONIT	 ONIT
PAN	 PAN
