C10H16   API
C2H4     ETE
C2H5OH   EOH
C2H6     ETH
C3H6     OLT
C4H10    HC3
CH2O     HCHO
CH3CHO   ACD
CH3COCH3 ACT
CH3O2    MO2
CH3OH    MOH
CH3OOH   OP1
CH4      CH4
CO       CO
H2O2     H2O2
HNO3     HNO3
HO2      HO2
HO2NO2   HNO4
ISOP     ISO
N2O5     N2O5
NO2      NO2
NO3      NO3
NO       NO
O1D      O1D
O3       O3
O        O3P
OH       HO
ONIT     ONIT
PAN      PAN
