PPM1         100
PPM2	     100
PPM3	     100
NO	      30
NO2	      46
HONO	      47
CO	      28
SO2	      64
NH3	      17
CH4	      16
C2H6	      30
NC4H10	      58
C2H4	      28
C3H6	      42
APINEN	     136
C5H8	      68
OXYL	     106
HCHO	      30
CH3CHO	      44
CH3COE	      72
CH3OH	      32
C2H5OH	      46

