SOA                  0.23000     0.23000     0.23000     0.23000    85
PPA                  0.67000     0.67000     0.67000     0.67000    89
O3                   0.33000     0.33000     0.33000     0.33000    89
HCHO                 1.35000     1.35000     1.35000     1.35000    90
HO2                  0.70000     0.70000     0.70000     0.70000    90
CH3O2                0.50000     0.50000     0.50000     0.50000    91
CO2                  0.50000     0.50000     0.50000     0.50000    91
HO2                  0.50000     0.50000     0.50000     0.50000    91
CH3O2                2.00000     2.00000     2.00000     2.00000    92
CO2                  2.00000     2.00000     2.00000     2.00000    92
OH                   2.00000     2.00000     2.00000     2.00000    97
OH                   2.00000     2.00000     2.00000     2.00000   101
HO2                  2.00000     2.00000     2.00000     2.00000   104
CH3COO               2.00000     2.00000     2.00000     2.00000   107
HO2                  0.60000     0.60000     0.60000     0.60000   109
CO                   2.00000     2.00000     2.00000     2.00000   109
H2                   1.40000     1.40000     1.40000     1.40000   109
MVK                  0.50000     0.50000     0.50000     0.50000   110
MALEIC               0.50000     0.50000     0.50000     0.50000   110
oPAN                 0.50000     0.50000     0.50000     0.50000   110
HCHO                 0.50000     0.50000     0.50000     0.50000   110
HO2                  0.50000     0.50000     0.50000     0.50000   110
